"Player","Pos","School","Weight","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle","Drafted","height_total_in","PositionGroup"
"Dalton Risner","OT","Kansas State",312,5.3,28.5,23,110,7.69,4.52,"1",77,"OLINE"
"Damarkus Lodge","WR","Mississippi",202,4.55,33.5,11,119,7.06,4.53,"0",74,"WR"
"Dan Godsil","LS","Indiana",241,5,34.5,16,118,7.56,4.55,"0",76,"LS"
"Daniel Wise","DL","Kansas",281,5.28,27.5,22,112,7.53,4.37,"0",75,"DLINE"
"Darius Slayton","WR","Auburn",190,4.39,40.5,11,135,7,4.15,"1",73,"WR"
"Darnell Savage","S","Maryland",198,4.36,39.5,11,126,7.03,4.14,"1",71,"DB"
"Davante Davis","CB","Texas",202,4.57,37,14,125,6.76,4.15,"0",74,"DB"
"David Long","CB","Michigan",196,4.45,39.5,15,120,6.45,3.97,"1",71,"DB"
"David Sills","WR","West Virginia",211,4.57,37.5,14,117,6.97,4.28,"0",75,"WR"
"Dax Raymond","TE","Utah State",255,4.73,32,15,109,7.15,4.39,"0",77,"TE"
"Daylon Mack","DL","Texas A&M",336,5.1,27,30,102,8.02,4.95,"1",73,"DLINE"
"Deebo Samuel","WR","South Carolina",214,4.48,39,15,122,7.03,4.14,"1",71,"WR"
"Deion Calhoun","OL","Mississippi State",310,5.07,28.5,26,105,7.46,4.62,"0",74,"OLINE"
"Demarcus Christmas","DL","Florida State",294,5.08,25.5,22,101,8.13,5.07,"1",75,"DLINE"
"Dennis Daley","OT","South Carolina",317,5.23,26.5,20,103,7.95,4.92,"1",77,"OLINE"
"Devin Bush","LB","Michigan",234,4.43,40.5,21,124,6.93,4.23,"1",71,"LB"
"Devin Singletary","RB","Florida Atlantic",203,4.66,35,15,117,7.32,4.4,"1",67,"RB"
"Devin White","LB","LSU",237,4.42,39.5,22,118,7.07,4.17,"1",72,"LB"
"Devon Johnson","OT","Ferris State",338,5.16,27.5,26,89,8.34,5.28,"0",79,"OLINE"
"Dexter Williams","RB","Notre Dame",212,4.57,36,17,130,7,4.16,"1",71,"RB"
"Diontae Johnson","WR","Toledo",183,4.53,33.5,15,123,7.09,4.45,"1",70,"WR"
"Dru Samia","OT","Oklahoma",305,5.29,27.5,28,101,7.89,4.7,"1",77,"OLINE"
"Drue Tranquill","LB","Notre Dame",234,4.57,37.5,31,122,6.94,4.14,"1",74,"LB"
"Emeke Egbule","LB","Houston",245,4.65,33,20,119,7.38,4.38,"1",74,"LB"
"Erik McCoy","OL","Texas A&M",303,4.89,31,29,107,8.28,4.62,"1",76,"OLINE"
"Evan Worthington","S","Colorado",212,4.63,33.5,17,121,7.07,4.37,"0",74,"DB"
"Foster Moreau","TE","LSU",253,4.66,36.5,22,121,7.16,4.11,"1",76,"TE"
"Garrett Bradbury","OL","North Carolina State",306,4.92,31,34,104,7.41,4.53,"1",75,"OLINE"
"Gary Jennings","WR","West Virginia",214,4.42,37,20,127,7.32,4.15,"1",73,"WR"
"Gary Johnson","LB","Texas",226,4.43,33.5,16,121,7.15,4.57,"0",72,"LB"
"Gerri Green","EDGE","Mississippi State",252,4.63,35,24,114,7.27,4.42,"1",76,"DLINE"
"Hamp Cheevers","CB","Boston Col.",169,4.52,39,8,122,6.96,4.25,"0",69,"DB"
"Hjalte Froholdt","OL","Arkansas",306,5.2,27.5,31,105,7.51,4.54,"1",77,"OLINE"
"Hunter Renfrow","WR","Clemson",184,4.59,35,7,116,6.8,4.19,"1",70,"WR"
"Iosua Opeta","OL","Weber State",301,5.02,33,39,112,8.06,4.94,"0",76,"OLINE"
"Irv Smith","TE","Alabama",242,4.63,32.5,19,110,7.32,4.33,"1",74,"TE"
"Isaiah Buggs","DL","Alabama",306,5.15,24.5,20,96,8.01,4.83,"1",75,"DLINE"
"Isaiah Prince","OT","Ohio State",305,5.09,27,23,115,7.9,5.02,"1",78,"OLINE"
"Jace Sternberger","TE","Texas A&M",251,4.75,31.5,17,113,7.19,4.31,"1",76,"TE"
"Jackson Barton","OT","Utah",310,5.18,27,25,109,7.85,4.66,"1",79,"OLINE"
"Jakobi Meyers","WR","North Carolina State",203,4.63,37,13,118,7.07,4.23,"0",74,"WR"
"Jalen Jelks","EDGE","Oregon",256,4.92,32.5,19,113,7.22,4.59,"1",77,"DLINE"
"Jamal Davis","EDGE","Akron",243,4.6,39,19,122,7,4.44,"0",75,"DLINE"
"Jamel Dean","CB","Auburn",206,4.3,41,16,130,7.02,4.19,"1",73,"DB"
"Javon Patterson","OL","Mississippi",307,5.13,27.5,27,98,7.72,4.78,"1",75,"OLINE"
"Jaylen Smith","WR","Louisville",219,4.47,34.5,14,122,7.55,4.48,"0",74,"WR"
"Jazz Ferguson","WR","Northwestern St. (LA)",227,4.45,37,8,123,7.25,4.59,"0",77,"WR"
"Jeff Allison","LB","Fresno State",228,4.82,31,12,115,7.2,4.45,"0",71,"LB"
"Jerry Tillery","DL","Notre Dame",295,4.93,32,23,115,7.45,4.33,"1",78,"DLINE"
"John Cominsky","DL","Charleston",286,4.69,33.5,22,116,7.03,4.38,"1",77,"DLINE"
"Jonah Williams","OT","Alabama",302,5.12,28,23,100,8.01,4.79,"1",76,"OLINE"
"Jordan Scarlett","RB","Florida",208,4.47,30,21,116,7.37,4.63,"1",71,"RB"
"Josh Oliver","TE","San Jose State",249,4.63,34,22,117,7.21,4.47,"1",77,"TE"
"Julian Love","CB","Notre Dame",195,4.54,36,14,121,6.72,4.1,"1",71,"DB"
"Justin Hollins","EDGE","Oregon",248,4.5,36.5,25,119,7.06,4.4,"1",77,"DLINE"
"Kaden Smith","TE","Stanford",255,4.92,32,15,108,7.08,4.47,"1",77,"TE"
"Kahale Warring","TE","San Diego State",252,4.67,36.5,19,122,7.21,4.25,"1",77,"TE"
