"Player","Pos","School","Weight","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle","Drafted","height_total_in","PositionGroup"
"Pooka Williams","RB","Kansas",170,4.46,31.5,4,118,7.03,4.26,"0",69,"RB"
"Quintin Morris","TE","Bowling Green",243,4.6,34,22,119,7.12,4.55,"0",74,"TE"
"Rachad Wildgoose","CB","Wisconsin",197,4.53,36,11,120,7.09,4.18,"1",71,"DB"
"Rakeem Boyd","RB","Arkansas",213,4.7,32.5,6,98,7.22,4.38,"0",71,"RB"
"Ramaud Chiaokhiao-Bowman","WR","Northwestern",204,4.78,34.5,11,119,6.78,4.2,"0",73,"WR"
"Rashad Weaver","DL","Pittsburgh",259,4.88,32,20,114,6.97,4.26,"1",76,"DLINE"
"Rashawn Slater","OL","Northwestern",304,4.91,33,33,112,7.48,4.45,"1",76,"OLINE"
"Rhamondre Stevenson","RB","Oklahoma",231,4.64,31.5,15,112,7.09,4.15,"1",71,"RB"
"Richie Grant","DB","Central Florida",197,4.49,34.5,12,129,6.78,4.27,"1",71,"DB"
"Riley Lees","WR","Northwestern",192,4.47,35,7,119,6.78,4.16,"0",71,"WR"
"Robert Hainsey","OL","Notre Dame",306,5.2,27.5,32,104,7.58,4.63,"1",76,"OLINE"
"Robert Rochell","DB","Central Arkansas",193,4.41,43,9,133,6.84,4.08,"1",71,"DB"
"Rodarius Williams","CB","Oklahoma St.",189,4.5,36.5,14,123,6.98,4.15,"1",71,"DB"
"Roy Lopez","DL","Arizona",304,5.19,31,36,105,7.39,4.51,"0",73,"DLINE"
"Royce Newman","OL","Mississippi",310,5.14,28,23,104,7.91,4.75,"0",77,"OLINE"
"Ry Schneider","OL","Oklahoma St.",312,5.67,23.5,26,85,8.51,5.37,"0",74,"OLINE"
"Ryan Neuzil","OL","Appalachian St.",301,5.09,29,30,102,7.41,4.53,"0",74,"OLINE"
"Samuel Cosmi","OL","Texas",314,4.87,30,36,117,7.35,4.39,"1",77,"OLINE"
"Sandon McCoy","RB","Army",215,4.78,32,18,114,7.47,4.56,"0",70,"RB"
"Seth Williams","WR","Auburn",211,4.49,37,12,124,7.2,4.43,"1",75,"WR"
"Shaka Toney","DE","Penn St.",242,4.51,39,24,128,6.95,4.28,"1",74,"DLINE"
"Shakur Brown","CB","Michigan St.",185,4.61,35.5,17,116,7.08,4.23,"0",69,"DB"
"Shaq Smith","LB","Maryland",237,4.79,30,22,110,7.34,4.3,"0",74,"LB"
"Shaun Crawford","S","Notre Dame",182,4.55,35,12,116,6.7,4.13,"0",69,"DB"
"Shemar Jean-Charles","DB","Appalachian St.",184,4.47,35,19,124,7.19,4.27,"0",70,"DB"
"Simi Fehoko","WR","Stanford",222,4.44,34.5,16,120,6.78,4.26,"1",75,"WR"
"Sterling Johnson","DL","Coastal Carolina",288,5.22,28,25,103,7.56,4.81,"0",75,"DLINE"
"Stevie Scott","RB","Indiana",225,4.66,31,18,119,7.14,4.57,"0",72,"RB"
"Stone Forsythe","OL","Florida",307,5.14,27.5,25,103,7.47,4.65,"1",80,"OLINE"
"Syrus Tuitele","OL","Fresno St.",311,5.21,26,36,94,8.25,4.89,"0",77,"OLINE"
"Ta'Quon Graham","DL","Texas",292,4.89,32.5,32,113,7.31,4.68,"1",75,"DLINE"
"Tamorrion Terry","WR","Florida St.",207,4.44,32.5,15,126,7,4.53,"0",74,"WR"
"Tarik Black","WR","Texas",213,4.54,40,15,132,6.91,4.26,"0",74,"WR"
"Tarron Jackson","DE","Coastal Carolina",254,4.68,29,25,118,7.45,4.51,"1",74,"DLINE"
"Tavante Beckett","LB","Marshall",220,4.78,31,18,106,7.34,4.58,"0",70,"LB"
"Tay Gowan","DB","Central Florida",186,4.44,35.5,13,118,6.88,4.25,"1",72,"DB"
"Tedarrell Slaton","DL","Florida",330,5.09,29,27,109,7.91,4.81,"1",76,"DLINE"
"Teton Saltes","OL","New Mexico",300,5.04,30.5,22,105,7.76,4.64,"0",76,"OLINE"
"Teven Jenkins","OL","Oklahoma St.",317,5.01,32.5,36,106,7.72,4.66,"1",77,"OLINE"
"Thomas Graham Jr.","CB","Oregon",192,4.49,34.5,13,121,7.08,4.21,"0",70,"DB"
"Tim Tanner-Blair","OL","Bowling Green",288,5.59,21,32,93,8.06,4.95,"0",75,"OLINE"
"Tommy Togiai","DT","Ohio St.",296,4.97,32,40,105,7.2,4.49,"1",73,"DLINE"
"Tony Fields","LB","West Virginia",222,4.64,34,17,114,7.15,4.48,"1",72,"LB"
"Tory Carter","FB","LSU",229,4.86,35.5,24,112,7.21,4.38,"0",72,"RB"
"Trae Meadows","DB","Western Kentucky",183,4.65,29,6,118,7.3,4.39,"0",72,"DB"
"Tre Brown","CB","Oklahoma",185,4.42,38,13,123,7.11,4.27,"1",69,"DB"
"Tre Nixon","WR","Central Florida",187,4.44,35.5,18,125,6.81,4.27,"1",72,"WR"
"Tre Norwood","DB","Oklahoma",192,4.58,33.5,12,123,7.65,4.45,"1",71,"DB"
"Trevon Grimes","WR","Florida",220,4.49,35,15,118,6.98,4.28,"0",76,"WR"
"Trey Ragas","RB","Louisiana",214,4.6,33.5,23,117,7.19,4.5,"0",70,"RB"
"Trystan Slinker","LB","Baylor",234,4.84,30.5,20,119,7.59,4.63,"0",70,"LB"
"Tuf Borland","LB","Ohio St.",229,4.98,32.5,15,109,7.17,4.29,"0",72,"LB"
"Tylan Wallace","WR","Oklahoma St.",194,4.48,33,11,112,6.97,4.25,"1",71,"WR"
"Tyler Coyle","LB","Purdue",209,4.38,39,24,133,7.14,4,"0",73,"LB"
"Tyler Vaughns","WR","USC",190,4.62,31.5,7,120,7.13,4.36,"0",73,"WR"
"Tyree Thompson","LB","Buffalo",229,5,31,18,109,7.87,4.96,"0",73,"LB"
"Tyson Campbell","DB","Georgia",193,4.4,34.5,12,124,7.15,4.45,"1",73,"DB"
"Victor Dimukeje","DE","Duke",262,4.87,34.5,28,115,7.25,4.35,"1",73,"DLINE"
"Walker Little","OT","Stanford",313,5.3,29.5,24,111,7.44,4.59,"1",79,"OLINE"
"Wesley Burris","LS","Kansas St.",203,5.3,30,12,102,7.51,4.74,"0",69,"LS"
"Whop Philyor","WR","Indiana",184,4.57,31,14,120,7.2,4.34,"0",69,"WR"
"Will Fries","OL","Penn St.",309,5.37,31,24,115,7.77,4.53,"1",78,"OLINE"
"William Sherman","OL","Colorado",304,5.19,26,23,108,7.71,4.82,"1",75,"OLINE"
"Zach Davidson","TE","Central Missouri St.",245,4.58,37.5,17,117,6.95,4.19,"0",78,"TE"
"Zech McPhearson","DB","Texas Tech",191,4.48,40.5,14,130,6.88,4,"0",70,"DB"
"Abraham Lucas","OT","Washington St.",315,4.92,27,24,107,7.25,4.4,"1",78,"OLINE"
"Alec Lindstrom","C","Boston Col.",296,5.18,29,25,111,7.5,4.66,"0",75,"OLINE"
"Bernhard Raimann","OT","Central Michigan",303,5.05,30.5,30,117,7.46,4.49,"1",78,"OLINE"
"Cal Adomitis","LS","Pittsburgh",235,4.97,29.5,18,107,7.53,4.62,"0",74,"LS"
"Chad Muma","LB","Wyoming",239,4.63,40,27,129,7.06,4.28,"1",75,"LB"
"Cole Strange","OG","Tennessee-Chattanooga",307,5.03,28,31,120,7.44,4.5,"1",77,"OLINE"
"Cole Turner","TE","Nevada",246,4.76,27,17,120,7.06,4.41,"1",78,"TE"
"Cordell Volson","OG","North Dakota St.",315,5.27,25,25,104,8.31,4.93,"1",78,"OLINE"
"Daniel Bellinger","TE","San Diego St.",253,4.63,34.5,22,125,7.05,4.47,"1",77,"TE"
"Dawson Deaton","C","Texas Tech",306,5.12,29,24,108,7.52,4.49,"1",78,"OLINE"
"Greg Dulcich","TE","UCLA",243,4.69,34,16,122,7.05,4.37,"1",76,"TE"
"Jake Ferguson","TE","Wisconsin",250,4.81,31.5,15,118,7.03,4.48,"1",77,"TE"
"Jeremiah Hall","TE","Oklahoma",239,4.96,29,19,111,7.43,4.62,"0",74,"TE"
"Marcus McKethan","OG","North Carolina",340,5.31,27.5,27,110,7.81,4.99,"1",79,"OLINE"
"Matthew Butler","DT","Tennessee",297,5,32,17,112,7.89,4.81,"1",76,"DLINE"
"Nick Zakelj","OT","Fordham",316,5.13,28.5,27,110,7.75,4.71,"1",78,"OLINE"
"Obinna Eze","OT","TCU",321,5.17,27.5,18,104,8.2,5.08,"0",79,"OLINE"
"William Dunkle","OG","San Diego St.",328,5.44,26,25,95,7.97,4.91,"0",77,"OLINE"
"Zach Thomas","OG","San Diego St.",308,4.96,22.5,21,107,7.4,4.65,"0",77,"OLINE"
"Zion Johnson","OG","Boston Col.",312,5.18,32,32,112,7.38,4.46,"1",75,"OLINE"
"Andrei Iosivas","WR","Princeton",205,4.43,39,19,128,6.85,4.12,"0",75,"WR"
"Brandon Joseph","DB","Notre Dame",202,4.62,30.5,17,118,7.08,4.23,"0",72,"DB"
"Charlie Thomas","LB","Georgia Tech",216,4.52,32.5,18,124,7.09,4.34,"0",75,"LB"
"Daniel Scott","DB","California",208,4.45,39.5,22,128,6.75,4.17,"1",73,"DB"
"Dante Stills","DT","West Virginia",286,4.85,28.5,20,113,7.38,4.61,"1",76,"DLINE"
"Habakkuk Baldonado","EDGE","Pittsburgh",251,4.78,35,21,120,7.11,4.44,"0",76,"DLINE"
"Isaiah Foskey","EDGE","Notre Dame",264,4.58,34,22,125,7.28,4.41,"1",77,"DLINE"
"Isaiah Land","EDGE","Florida A&M",236,4.62,34.5,21,126,7.2,4.56,"0",76,"DLINE"
"Jacob Copeland","WR","Maryland",201,4.42,33,20,127,7.01,4.47,"0",71,"WR"
"Jalen Redmond","DT","Oklahoma",291,4.81,34.5,27,116,7.3,4.51,"0",74,"DLINE"
"Jaylon Jones","CB","Texas A&M",200,4.57,38,14,122,6.88,4.3,"1",74,"DB"
"Jeremy Banks","LB","Tennessee",232,4.53,37.5,25,127,7.27,4.38,"0",73,"LB"
"Jose Ramirez","EDGE","Eastern Michigan",242,4.73,34.5,21,118,6.95,4.3,"0",74,"DLINE"
"Keeanu Benton","DT","Wisconsin",309,5.08,29.5,25,111,7.34,4.65,"1",76,"DLINE"
"Lukas Van Ness","EDGE","Iowa",272,4.58,31,17,118,7.02,4.32,"0",77,"DLINE"
"Michael Jefferson","WR","Louisiana",199,4.56,37,16,133,7.03,4.56,"0",76,"WR"
"PJ Mustipher","DT","Penn St.",320,5.41,27.5,19,96,8.01,5.03,"0",76,"DLINE"
"Ronnie Bell","WR","Michigan",191,4.54,38.5,14,120,6.98,4.15,"1",72,"WR"
"Shaka Heyward","LB","Duke",235,4.53,31,22,116,7.32,4.4,"0",75,"LB"
"Terell Smith","CB","Minnesota",204,4.41,34,14,120,7.02,4.3,"0",73,"DB"
"Zacch Pickens","DT","South Carolina",291,4.89,30.5,22,116,7.45,4.62,"1",76,"DLINE"
